ID	Taxon	Gloss	GlossID	Orthography	IPA	TOKENS	CogID	CLPA_TOKENS	CLPA_IDS
309	Albanian	feather	45	pendë	pend	p e n d	748	p e n d	291 1089 107 145
310	English	feather	45	feather	fɛðər	f ɛ ð ə r	745	f ɛ ð ə r	452 1121 419 1022 153
311	French	feather	45	plume	plym	p l y m	746	p l y m	291 554 1047 241
312	German	feather	45	Feder	feːdər	f eː d ə r	745	f eː d ə r	452 1091 145 1022 153
313	Hawaiian	feather	45	hulu	hulu	h u l u	750	h u l u	405 868 554 868
314	Navajo	feather	45	'at'a'	tˀaʔ	tˀ a ʔ	749	tʼ a ʔ	60 997 409
315	Turkish	feather	45	tüy	tyj	t y j	747	t y j	120 1047 570
316	Albanian	few	46	pak	pak	p a k	-741	p a k	291 997 838
317	English	few	46	few	fju	f j u	741	f j u	452 570 868
318	French	few	46	peu de	pø	p ø	741	p ø	291 1052
319	German	few	46	wenige	veːnig	v eː n i g	740	v eː n i ɡ	451 1091 107 1076 831
320	Hawaiian	few	46	kaka`ikahi	kakaʔikahi	k a k a ʔ i k a h i	744	k a k a ʔ i k a h i	838 997 838 997 409 1076 838 997 405 1076
321	Navajo	few	46	t'áá díkwíí	dikwiː	d i k w iː	743	d i k w iː	145 1076 838 462 1068
322	Turkish	few	46	az	az	a z	742	a z	997 80
323	Albanian	fight	47	lufton	lufto	l u f t o	-736	l u f t o	554 868 452 120 887
324	English	fight	47	fights	fait	f ai t	734	f ai t	452 1037 120
325	French	fight	47	bat	bat	b a t	733	b a t	257 997 120
326	German	fight	47	kämpft	kamp͡f	k a m p͡f	-732	k a m pf	838 997 241 424
327	Hawaiian	fight	47	hakakā	hakakaː	h a k a k aː	739	h a k a k aː	405 997 838 997 838 1004
328	Navajo	fight	47	'ahishgą́	ʔahigã́	ʔ a h i g ã́	737	ʔ a h i ɡ ã	409 997 405 1076 831 1014
329	Turkish	fight	47	dövüşüyor	døvyʃ	d ø v y ʃ	735	d ø v y ʃ	145 1052 451 1047 683
330	Albanian	fire	48	zjarr	zjarː	z j a rː	782	z j a rː	80 570 997 162
331	English	fire	48	fire	faiər	f ai ə r	779	f ai ə r	452 1037 1022 153
332	French	fire	48	feu	fø	f ø	780	f ø	452 1052
333	German	fire	48	Feuer	foiər	f oi ə r	779	f oi ə r	452 935 1022 153
334	Hawaiian	fire	48	ahi	ahi	a h i	785	a h i	997 405 1076
335	Navajo	fire	48	kǫ'	kõʔ	k õ ʔ	783	k õ ʔ	838 883 409
336	Turkish	fire	48	ateş	ateʃ	a t e ʃ	-781	a t e ʃ	997 120 1089 683
337	Albanian	fish	49	peshk	peʃk	p e ʃ k	-353	p e ʃ k	291 1089 683 838
338	English	fish	49	fish	fɪʃ	f ɪ ʃ	353	f ɪ ʃ	452 1110 683
339	French	fish	49	poisson	pwasɔ̃	p w a s ɔ̃	353	p w a s ɔ̃	291 462 997 89 915
340	German	fish	49	Fisch	fiʃ	f i ʃ	353	f i ʃ	452 1076 683
341	Hawaiian	fish	49	i`a	iʔa	i ʔ a	356	i ʔ a	1076 409 997
342	Navajo	fish	49	ƚóó'	ɬoːʔ	ɬ oː ʔ	355	ɬ oː ʔ	540 880 409
343	Turkish	fish	49	balık	balɯk	b a l ɯ k	354	b a l ɯ k	257 997 554 944 838
344	Albanian	five	50	pesë	pesə	p e s ə	201	p e s ə	291 1089 89 1022
345	English	five	50	five	faiv	f ai v	201	f ai v	452 1037 451
346	French	five	50	cinq	sɛ̃k	s ɛ̃ k	201	s ɛ̃ k	89 1123 838
347	German	five	50	fünf	fynf	f y n f	201	f y n f	452 1047 107 452
348	Hawaiian	five	50	lima	lima	l i m a	204	l i m a	554 1076 241 997
349	Navajo	five	50	'ashdla'	ʔaʃdˡaʔ	ʔ a ʃ dˡ a ʔ	203	ʔ a ʃ dˡ a ʔ	409 997 683 146 997 409
350	Turkish	five	50	beş	beʃ	b e ʃ	202	b e ʃ	257 1089 683
351	Albanian	flow	51	rrjedh	rːeð	rː e ð	1177	rː e ð	162 1089 419
352	English	flow	51	flows	flo	f l o	1174	f l o	452 554 887
353	French	flow	51	coule	kule	k u l e	1175	k u l e	838 868 554 1089
354	German	flow	51	fließt	fliːs	f l iː s	1174	f l iː s	452 554 1068 89
355	Hawaiian	flow	51	kahe	kahe	k a h e	1180	k a h e	838 997 405 1089
356	Navajo	flow	51	yígeeh	jigeːh	j i g eː h	1178	j i ɡ eː h	570 1076 831 1091 405
357	Turkish	flow	51	akıyor	ak	a k	1176	a k	997 838
358	Albanian	flower	52	lule	lul	l u l	-423	l u l	554 868 554
359	English	flower	52	flower	flauər	f l au ə r	-421	f l au ə r	452 554 1033 1022 153
360	French	flower	52	fleur	flœr	f l œ r	421	f l œ r	452 554 1059 153
361	German	flower	52	Blume	bluːm	b l uː m	421	b l uː m	257 554 860 241
362	Hawaiian	flower	52	pua	pua	p u a	425	p u a	291 868 997
363	Navajo	flower	52	ch'ilátah hózhóón	ʧˀilaytah	ʧˀ i l ay t a h	424	tʃʼ i l ? t a h	652 1076 554 ? 120 997 405
364	Turkish	flower	52	çiçek	ʧiʧek	ʧ i ʧ e k	422	tʃ i tʃ e k	651 1076 651 1089 838
365	Albanian	fly	53	fluturon	fluturo	f l u t u r o	844	f l u t u r o	452 554 868 120 868 153 887
366	English	fly	53	flies	flai	f l ai	841	f l ai	452 554 1037
367	French	fly	53	vole	vɔle	v ɔ l e	842	v ɔ l e	451 916 554 1089
368	German	fly	53	fliegt	fliːg	f l iː g	841	f l iː ɡ	452 554 1068 831
369	Hawaiian	fly	53	lele	lele	l e l e	846	l e l e	554 1089 554 1089
370	Navajo	fly	53	yit'ah	jitˀah	j i tˀ a h	845	j i tʼ a h	570 1076 60 997 405
371	Turkish	fly	53	uçuyor	uʧ	u ʧ	843	u tʃ	868 651
372	Albanian	fog	54	mjegull	mjeguł	m j e g u ł	470	m j e ɡ u lˠ	241 570 1089 831 868 549
373	English	fog	54	fog	fɑg	f ɑ g	-468	f ɑ ɡ	452 952 831
374	French	fog	54	brouillard	brujar	b r u j a r	-467	b r u j a r	257 153 868 570 997 153
375	German	fog	54	Nebel	neːbəl	n eː b ə l	466	n eː b ə l	107 1091 257 1022 554
376	Hawaiian	fog	54	`ohu	ʔohu	ʔ o h u	472	ʔ o h u	409 887 405 868
377	Navajo	fog	54	'áhí	ayhi	ay h i	471	? h i	? 405 1076
378	Turkish	fog	54	sis	sis	s i s	469	s i s	89 1076 89
379	Albanian	foot	55	këmbë	kəmb	k ə m b	-229	k ə m b	838 1022 241 257
380	English	foot	55	foot	fʊt	f ʊ t	227	f ʊ t	452 904 120
381	French	foot	55	pied	pje	p j e	227	p j e	291 570 1089
382	German	foot	55	Fuß	fuːs	f uː s	227	f uː s	452 860 89
383	Hawaiian	foot	55	wāwae	waːwae	w aː w a e	231	w aː w a e	462 1004 462 997 1089
384	Navajo	foot	55	'akee'	keːʔ	k eː ʔ	230	k eː ʔ	838 1091 409
385	Turkish	foot	55	ayak	ajak	a j a k	228	a j a k	997 570 997 838
386	Albanian	four	56	katër	katər	k a t ə r	20	k a t ə r	838 997 120 1022 153
387	English	four	56	four	fɔr	f ɔ r	20	f ɔ r	452 916 153
388	French	four	56	quatre	katr	k a t r	20	k a t r	838 997 120 153
389	German	four	56	vier	fiːr	f iː r	20	f iː r	452 1068 153
390	Hawaiian	four	56	hā	haː	h aː	23	h aː	405 1004
391	Navajo	four	56	dį́į́'	dĩːʔ	d ĩː ʔ	22	d ĩː ʔ	145 1066 409
392	Turkish	four	56	dört	dørt	d ø r t	21	d ø r t	145 1052 153 120
393	Albanian	freeze	57	ngrin	ngri	n g r i	376	n ɡ r i	107 831 153 1076
394	English	freeze	57	freezes	friz	f r i z	373	f r i z	452 153 1076 80
395	French	freeze	57	gèle	ʒɛle	ʒ ɛ l e	374	ʒ ɛ l e	685 1121 554 1089
396	German	freeze	57	friert	friːr	f r iː r	373	f r iː r	452 153 1068 153
397	Hawaiian	freeze	57	ho`opa`a i ka hau	hoʔopaʔa	h o ʔ o p a ʔ a	378	h o ʔ o p a ʔ a	405 887 409 887 291 997 409 997
398	Navajo	freeze	57	yishtin	jiʃtin	j i ʃ t i n	377	j i ʃ t i n	570 1076 683 120 1076 107
399	Turkish	freeze	57	donuyor	don	d o n	375	d o n	145 887 107
400	Albanian	fruit	58	pemë	pem	p e m	-1102	p e m	291 1089 241
401	English	fruit	58	fruit	frut	f r u t	-1100	f r u t	452 153 868 120
402	French	fruit	58	fruit	frɥi	f r ɥ i	1100	f r ɥ i	452 153 458 1076
403	German	fruit	58	Frucht	fruxt	f r u x t	-1100	f r u x t	452 153 868 778 120
404	Hawaiian	fruit	58	hua	hua	h u a	1104	h u a	405 868 997
405	Navajo	fruit	58	bineest'ą'	bineːstˀãʔ	b i n eː s tˀ ã ʔ	1103	b i n eː s tʼ ã ʔ	257 1076 107 1091 89 60 1014 409
406	Turkish	fruit	58	meyva	mejva	m e j v a	-1101	m e j v a	241 1089 570 451 997
407	Albanian	full	59	plotë	plot	p l o t	503	p l o t	291 554 887 120
408	English	full	59	full	fʊl	f ʊ l	503	f ʊ l	452 904 554
409	French	full	59	plein	plɛn	p l ɛ n	503	p l ɛ n	291 554 1121 107
410	German	full	59	voll	fol	f o l	503	f o l	452 887 554
411	Hawaiian	full	59	piha	piha	p i h a	506	p i h a	291 1076 405 997
412	Navajo	full	59	hadeezbin	hadibin	h a d i b i n	505	h a d i b i n	405 997 145 1076 257 1076 107
413	Turkish	full	59	dolu	dolu	d o l u	504	d o l u	145 887 554 868
414	Albanian	give	60	jep	jep	j e p	936	j e p	570 1089 291
415	English	give	60	gives	gɪv	g ɪ v	-933	ɡ ɪ v	831 1110 451
416	French	give	60	donne	dɔne	d ɔ n e	934	d ɔ n e	145 916 107 1089
417	German	give	60	gibt	geːb	g eː b	933	ɡ eː b	831 1091 257
418	Hawaiian	give	60	hā`awi	haːʔawi	h aː ʔ a w i	938	h aː ʔ a w i	405 1004 409 997 462 1076
419	Navajo	give	60	nish'aah	niʔaːh	n i ʔ aː h	937	n i ʔ aː h	107 1076 409 1004 405
420	Turkish	give	60	veriyor	ver	v e r	935	v e r	451 1089 153
421	Albanian	go	61	shkon	ʃko	ʃ k o	62	ʃ k o	683 838 887
422	English	go	61	goes	go	g o	59	ɡ o	831 887
423	French	go	61	va	v	v	60	v	451
424	German	go	61	geht	geː	g eː	59	ɡ eː	831 1091
425	Hawaiian	go	61	hele	hele	h e l e	65	h e l e	405 1089 554 1089
426	Navajo	go	61	yíghááh	jiɣaːh	j i ɣ aː h	63	j i ɣ aː h	570 1076 780 1004 405
427	Turkish	go	61	yürüyor	jyry	j y r y	61	j y r y	570 1047 153 1047
428	Albanian	good	62	mirë	mir	m i r	-170	m i r	241 1076 153
429	English	good	62	good	gʊd	g ʊ d	167	ɡ ʊ d	831 904 145
430	French	good	62	bon	bɔn	b ɔ n	168	b ɔ n	257 916 107
431	German	good	62	gut	guːt	g uː t	167	ɡ uː t	831 860 120
432	Hawaiian	good	62	maika`i	maikaʔi	m a i k a ʔ i	172	m a i k a ʔ i	241 997 1076 838 997 409 1076
433	Navajo	good	62	yá'átˀééh	jayʔaytˀeːh	j ay ʔ ay tˀ eː h	171	j ? ʔ ? tʼ eː h	570 ? 409 ? 60 1091 405
434	Turkish	good	62	iyi	iji	i j i	169	i j i	1076 570 1076
435	Albanian	grass	63	bar	bar	b a r	907	b a r	257 997 153
436	English	grass	63	grass	gras	g r a s	904	ɡ r a s	831 153 997 89
437	French	grass	63	herbe	ɛrb	ɛ r b	905	ɛ r b	1121 153 257
438	German	grass	63	Gras	graːz	g r aː z	904	ɡ r aː z	831 153 1004 80
439	Hawaiian	grass	63	mau`u	mauʔu	m a u ʔ u	910	m a u ʔ u	241 997 868 409 868
440	Navajo	grass	63	tƚ'oh	tˡˀoh	tˡˀ o h	908	tɬʼ o h	508 887 405
441	Turkish	grass	63	ot	ot	o t	906	o t	887 120
442	Albanian	grease	64	dhjamë	ðjam	ð j a m	-393	ð j a m	419 570 997 241
443	English	grease	64	grease	gris	g r i s	-391	ɡ r i s	831 153 1076 89
444	French	grease	64	graisse	grɛs	g r ɛ s	391	ɡ r ɛ s	831 153 1121 89
445	German	grease	64	Fett	fet	f e t	-390	f e t	452 1089 120
446	Hawaiian	grease	64	`aila	ʔaila	ʔ a i l a	-396	ʔ a i l a	409 997 1076 554 997
447	Navajo	grease	64	'ak'ah	kˀah	kˀ a h	394	kʼ a h	776 997 405
448	Turkish	grease	64	yağ	jaɣ	j a ɣ	392	j a ɣ	570 997 780
449	Albanian	green	65	gjelbër	ɟelbər	ɟ e l b ə r	-1194	ɟ e l b ə r	609 1089 554 257 1022 153
450	English	green	65	green	grin	g r i n	1191	ɡ r i n	831 153 1076 107
451	French	green	65	vert	vɛrt	v ɛ r t	1192	v ɛ r t	451 1121 153 120
452	German	green	65	grün	gryːn	g r yː n	1191	ɡ r yː n	831 153 1049 107
453	Hawaiian	green	65	`ōma`oma`o	ʔoːmaʔomaʔo	ʔ oː m a ʔ o m a ʔ o	1196	ʔ oː m a ʔ o m a ʔ o	409 880 241 997 409 887 241 997 409 887
454	Navajo	green	65	dootƚ'izh	doːtˡˀiʒ	d oː tˡˀ i ʒ	1195	d oː tɬʼ i ʒ	145 880 508 1076 685
455	Turkish	green	65	yeşil	jeʃil	j e ʃ i l	1193	j e ʃ i l	570 1089 683 1076 554
456	Albanian	guts	66	zorrë	zorː	z o rː	103	z o rː	80 887 162
457	English	guts	66	guts	gət	g ə t	101	ɡ ə t	831 1022 120
458	French	guts	66	intestins	ɛ̃tɛstɛ̃	ɛ̃ t ɛ s t ɛ̃	-100	ɛ̃ t ɛ s t ɛ̃	1123 120 1121 89 120 1123
459	German	guts	66	Därme	darm	d a r m	99	d a r m	145 997 153 241
460	Hawaiian	guts	66	na`au	naʔau	n a ʔ a u	105	n a ʔ a u	107 997 409 997 868
461	Navajo	guts	66	'ach'íí'	ʧˀiːʔ	ʧˀ iː ʔ	104	tʃʼ iː ʔ	652 1068 409
462	Turkish	guts	66	barsaklar	barsak	b a r s a k	102	b a r s a k	257 997 153 89 997 838
463	Albanian	hair	67	flok	flok	f l o k	-382	f l o k	452 554 887 838
464	English	hair	67	hair	hɛr	h ɛ r	-379	h ɛ r	405 1121 153
465	French	hair	67	cheveux	ʃəvø	ʃ ə v ø	380	ʃ ə v ø	683 1022 451 1052
466	German	hair	67	Haare	haːr	h aː r	379	h aː r	405 1004 153
467	Hawaiian	hair	67	lauoho	lauoho	l a u o h o	384	l a u o h o	554 997 868 887 405 887
468	Navajo	hair	67	'atsiighá	ʦiːɣaʔ	ʦ iː ɣ a ʔ	383	ts iː ɣ a ʔ	15 1068 780 997 409
469	Turkish	hair	67	saç	saʧ	s a ʧ	381	s a tʃ	89 997 651
470	Albanian	hand	68	dorë	dor	d o r	1097	d o r	145 887 153
471	English	hand	68	hand	hand	h a n d	1094	h a n d	405 997 107 145
472	French	hand	68	main	mɛ̃	m ɛ̃	1095	m ɛ̃	241 1123
473	German	hand	68	Hand	hand	h a n d	1094	h a n d	405 997 107 145
474	Hawaiian	hand	68	lima	lima	l i m a	1099	l i m a	554 1076 241 997
475	Navajo	hand	68	'ála'	laʔ	l a ʔ	1098	l a ʔ	554 997 409
476	Turkish	hand	68	el	el	e l	1096	e l	1089 554
477	Albanian	he	69	ai	ai	a i	837	a i	997 1076
478	English	he	69	he	hi	h i	835	h i	405 1076
479	French	he	69	il	il	i l	834	i l	1076 554
480	German	he	69	er	eːr	eː r	833	eː r	1091 153
481	Hawaiian	he	69	ia	ia	i a	840	i a	1076 997
482	Navajo	he	69	bí	bi	b i	838	b i	257 1076
483	Turkish	he	69	o	on	o n	836	o n	887 107
484	Albanian	head	70	kokë	kok	k o k	762	k o k	838 887 838
485	English	head	70	head	hɛd	h ɛ d	760	h ɛ d	405 1121 145
486	French	head	70	tête	tɛt	t ɛ t	759	t ɛ t	120 1121 120
487	German	head	70	Kopf	kop͡f	k o p͡f	-758	k o pf	838 887 424
488	Hawaiian	head	70	po`o	poʔo	p o ʔ o	764	p o ʔ o	291 887 409 887
489	Navajo	head	70	'atsii'	ʦiːʔ	ʦ iː ʔ	763	ts iː ʔ	15 1068 409
490	Turkish	head	70	baş	baʃ	b a ʃ	761	b a ʃ	257 997 683
491	Albanian	hear	71	dëgjon	dəɟo	d ə ɟ o	789	d ə ɟ o	145 1022 609 887
492	English	hear	71	hears	hɪr	h ɪ r	786	h ɪ r	405 1110 153
493	French	hear	71	entend	ɑ̃tɑ̃d	ɑ̃ t ɑ̃ d	787	ɑ̃ t ɑ̃ d	951 120 951 145
494	German	hear	71	hört	høːr	h øː r	786	h øː r	405 1050 153
495	Hawaiian	hear	71	lohe	lohe	l o h e	792	l o h e	554 887 405 1089
496	Navajo	hear	71	diits'a'	diːʦˀaʔ	d iː ʦˀ a ʔ	790	d iː tsʼ a ʔ	145 1068 16 997 409
497	Turkish	hear	71	işitiyor	iʃit	i ʃ i t	788	i ʃ i t	1076 683 1076 120
498	Albanian	heart	72	zemër	zemər	z e m ə r	922	z e m ə r	80 1089 241 1022 153
499	English	heart	72	heart	hɑrt	h ɑ r t	920	h ɑ r t	405 952 153 120
500	French	heart	72	cœur	kœr	k œ r	920	k œ r	838 1059 153
501	German	heart	72	Herz	herʦən	h e r ʦ ə n	920	h e r ts ə n	405 1089 153 15 1022 107
502	Hawaiian	heart	72	pu`uwai	puʔuwai	p u ʔ u w a i	924	p u ʔ u w a i	291 868 409 868 462 997 1076
503	Navajo	heart	72	'ajéídíshjool	ʤeidiʃʤoːl	ʤ e i d i ʃ ʤ oː l	923	dʒ e i d i ʃ dʒ oː l	655 1089 1076 145 1076 683 655 880 554
504	Turkish	heart	72	yürek	jyrek	j y r e k	921	j y r e k	570 1047 153 1089 838
505	Albanian	heavy	73	rëndë	rənd	r ə n d	331	r ə n d	153 1022 107 145
506	English	heavy	73	heavy	hɛvi	h ɛ v i	329	h ɛ v i	405 1121 451 1076
507	French	heavy	73	lourd	lurd	l u r d	328	l u r d	554 868 153 145
508	German	heavy	73	schwer	ʃveːr	ʃ v eː r	327	ʃ v eː r	683 451 1091 153
509	Hawaiian	heavy	73	kaumaha	kaumaha	k a u m a h a	334	k a u m a h a	838 997 868 241 997 405 997
510	Navajo	heavy	73	ndaaz	ndaːz	n d aː z	332	n d aː z	107 145 1004 80
511	Turkish	heavy	73	ağır	aɣɯr	a ɣ ɯ r	330	a ɣ ɯ r	997 780 944 153
512	Albanian	here	74	këtu	kətu	k ə t u	523	k ə t u	838 1022 120 868
513	English	here	74	here	hɪr	h ɪ r	520	h ɪ r	405 1110 153
514	French	here	74	ici	isi	i s i	521	i s i	1076 89 1076
515	German	here	74	hier	hiːr	h iː r	520	h iː r	405 1068 153
516	Hawaiian	here	74	nei	nei	n e i	526	n e i	107 1089 1076
517	Navajo	here	74	kwe'é	kweʔe	kw e ʔ e	524	kʷ e ʔ e	834 1089 409 1089
518	Turkish	here	74	burada	bura	b u r a	522	b u r a	257 868 153 997
519	Albanian	hit	75	qëllon	cəło	c ə ł o	177	c ə lˠ o	606 1022 549 887
520	English	hit	75	hits	hɪt	h ɪ t	-175	h ɪ t	405 1110 120
521	French	hit	75	frappe	frape	f r a p e	-174	f r a p e	452 153 997 291 1089
522	German	hit	75	schlägt	ʃlaːg	ʃ l aː g	173	ʃ l aː ɡ	683 554 1004 831
523	Hawaiian	hit	75	ku`i	kuʔi	k u ʔ i	180	k u ʔ i	838 868 409 1076
524	Navajo	hit	75	ńdiists'in	ńdiːɬʦˀin	ń d iː ɬ ʦˀ i n	178	? d iː ɬ tsʼ i n	? 145 1068 540 16 1076 107
525	Turkish	hit	75	vuruyor	vur	v u r	176	v u r	451 868 153
526	Albanian	hold	76	mban	mba	m b a	811	m b a	241 257 997
527	English	hold	76	holds	hold	h o l d	808	h o l d	405 887 554 145
528	French	hold	76	tient	tən	t ə n	809	t ə n	120 1022 107
529	German	hold	76	hält	halt	h a l t	808	h a l t	405 997 554 120
530	Hawaiian	hold	76	pa`a	paʔa	p a ʔ a	813	p a ʔ a	291 997 409 997
531	Navajo	hold	76	yótą'	jotãʔ	j o t ã ʔ	812	j o t ã ʔ	570 887 120 1014 409
532	Turkish	hold	76	tutuyor	tut	t u t	810	t u t	120 868 120
533	Albanian	horn	77	bri	brir	b r i r	1085	b r i r	257 153 1076 153
534	English	horn	77	horn	hɔrn	h ɔ r n	1083	h ɔ r n	405 916 153 107
535	French	horn	77	corne	kɔrn	k ɔ r n	1083	k ɔ r n	838 916 153 107
536	German	horn	77	Horn	horn	h o r n	1083	h o r n	405 887 153 107
537	Hawaiian	horn	77	kiwi	kiwi	k i w i	1087	k i w i	838 1076 462 1076
538	Navajo	horn	77	'adee'	deːʔ	d eː ʔ	1086	d eː ʔ	145 1091 409
539	Turkish	horn	77	boynuz	bojnuz	b o j n u z	1084	b o j n u z	257 887 570 107 868 80
540	Albanian	hot	78	nxehtë	nʣeht	n ʣ e h t	999	n dz e h t	107 20 1089 405 120
541	English	hot	78	hot	hɑt	h ɑ t	996	h ɑ t	405 952 120
542	French	hot	78	chaud	ʃod	ʃ o d	997	ʃ o d	683 887 145
543	German	hot	78	heiß	hais	h ai s	996	h ai s	405 1037 89
544	Hawaiian	hot	78	wela	wela	w e l a	1001	w e l a	462 1089 554 997
545	Navajo	hot	78	sido	sido	s i d o	1000	s i d o	89 1076 145 887
546	Turkish	hot	78	sıcak	sɯjak	s ɯ j a k	998	s ɯ j a k	89 944 570 997 838
547	Albanian	human	79	njerí	ɲeri	ɲ e r i	49	ɲ e r i	595 1089 153 1076
548	English	human	79	human	hjumən	h j u m ə n	-47	h j u m ə n	405 570 868 241 1022 107
549	French	human	79	humain	ymɛn	y m ɛ n	-47	y m ɛ n	1047 241 1121 107
550	German	human	79	Mensch	menʃən	m e n ʃ ə n	46	m e n ʃ ə n	241 1089 107 683 1022 107
551	Hawaiian	human	79	kanaka	kanaka	k a n a k a	51	k a n a k a	838 997 107 997 838 997
552	Navajo	human	79	diné	dine	d i n e	50	d i n e	145 1076 107 1089
553	Turkish	human	79	adam	adam	a d a m	-48	a d a m	997 145 997 241
554	Albanian	hunt	80	gjuan	ɟua	ɟ u a	267	ɟ u a	609 868 997
555	English	hunt	80	hunts	hənt	h ə n t	265	h ə n t	405 1022 107 120
556	French	hunt	80	chasse	ʃase	ʃ a s e	264	ʃ a s e	683 997 89 1089
557	German	hunt	80	jagt	jaːg	j aː g	263	j aː ɡ	570 1004 831
558	Hawaiian	hunt	80	hahai	hahai	h a h a i	270	h a h a i	405 997 405 997 1076
559	Navajo	hunt	80	haalzheeh	haːlʒeːh	h aː l ʒ eː h	268	h aː l ʒ eː h	405 1004 554 685 1091 405
560	Turkish	hunt	80	avlıyor	avla	a v l a	266	a v l a	997 451 554 997
561	Albanian	husband	81	burrë	burː	b u rː	324	b u rː	257 868 162
562	English	husband	81	husband	həzbənd	h ə z b ə n d	-322	h ə z b ə n d	405 1022 80 257 1022 107 145
563	French	husband	81	mari	mari	m a r i	321	m a r i	241 997 153 1076
564	German	husband	81	Gatte	gatə	g a t ə	320	ɡ a t ə	831 997 120 1022
565	Hawaiian	husband	81	kāne	kaːne	k aː n e	326	k aː n e	838 1004 107 1089
566	Navajo	husband	81	hastiin	hastiːn	h a s t iː n	325	h a s t iː n	405 997 89 120 1068 107
567	Turkish	husband	81	koca	koʤa	k o ʤ a	-323	k o dʒ a	838 887 655 997
568	Albanian	I	82	unë	unə	u n ə	1068	u n ə	868 107 1022
569	English	I	82	I	ai	ai	1066	ai	1037
570	French	I	82	je	ʒə	ʒ ə	1066	ʒ ə	685 1022
571	German	I	82	ich	ix	i x	1066	i x	1076 778
572	Hawaiian	I	82	au	au	a u	1070	a u	997 868
573	Navajo	I	82	shí	ʃi	ʃ i	1069	ʃ i	683 1076
574	Turkish	I	82	ben	ben	b e n	1067	b e n	257 1089 107
575	Albanian	ice	83	akull	akuł	a k u ł	451	a k u lˠ	997 838 868 549
576	English	ice	83	ice	ais	ai s	448	ai s	1037 89
577	French	ice	83	glace	glas	g l a s	449	ɡ l a s	831 554 997 89
578	German	ice	83	Eis	ais	ai s	448	ai s	1037 89
579	Hawaiian	ice	83	hau	hau	h a u	453	h a u	405 997 868
580	Navajo	ice	83	tin	tin	t i n	452	t i n	120 1076 107
581	Turkish	ice	83	buz	buz	b u z	450	b u z	257 868 80
582	Albanian	if	84	në qoftë se	coft	c o f t	972	c o f t	606 887 452 120
583	English	if	84	if	ɪf	ɪ f	970	ɪ f	1110 452
584	French	if	84	si	si	s i	969	s i	89 1076
585	German	if	84	wenn	ven	v e n	968	v e n	451 1089 107
586	Hawaiian	if	84	inā	inaː	i n aː	974	i n aː	1076 107 1004
587	Navajo	if	84	-dąą	dãː	d ãː	973	d ãː	145 992
588	Turkish	if	84	eğer	eɣer	e ɣ e r	-971	e ɣ e r	1089 780 1089 153
589	Albanian	in	85	në	nə	n ə	957	n ə	107 1022
590	English	in	85	in	ɪn	ɪ n	957	ɪ n	1110 107
591	French	in	85	dans	dɑ̃	d ɑ̃	957	d ɑ̃	145 951
592	German	in	85	in	in	i n	957	i n	1076 107
593	Hawaiian	in	85	i loko	loko	l o k o	960	l o k o	554 887 838 887
594	Navajo	in	85	bii'	iːʔ	iː ʔ	959	iː ʔ	1068 409
595	Turkish	in	85	içinde	iʧin	i ʧ i n	958	i tʃ i n	1076 651 1076 107
596	Albanian	kill	86	vret	vr	v r	42	v r	451 153
597	English	kill	86	kills	kɪl	k ɪ l	40	k ɪ l	838 1110 554
598	French	kill	86	tue	tye	t y e	39	t y e	120 1047 1089
599	German	kill	86	tötet	tøːt	t øː t	38	t øː t	120 1050 120
600	Hawaiian	kill	86	pepehi ā make	pepehiaːmake	p e p e h i aː m a k e	45	p e p e h i aː m a k e	291 1089 291 1089 405 1076 1004 241 997 838 1089
601	Navajo	kill	86	'iishhé	ʔiːɣe	ʔ iː ɣ e	43	ʔ iː ɣ e	409 1068 780 1089
602	Turkish	kill	86	öldürüyor	øldyr	ø l d y r	41	ø l d y r	1052 554 145 1047 153
603	Albanian	knee	87	gju	ɟur	ɟ u r	1127	ɟ u r	609 868 153
604	English	knee	87	knee	ni	n i	1125	n i	107 1076
605	French	knee	87	genou	ʒənu	ʒ ə n u	1125	ʒ ə n u	685 1022 107 868
606	German	knee	87	Knie	kniː	k n iː	1125	k n iː	838 107 1068
607	Hawaiian	knee	87	kuli	kuli	k u l i	1129	k u l i	838 868 554 1076
608	Navajo	knee	87	'agod	god	g o d	1128	ɡ o d	831 887 145
609	Turkish	knee	87	diz	diz	d i z	1126	d i z	145 1076 80
610	Albanian	knife	88	thikë	θik	θ i k	489	θ i k	417 1076 838
611	English	knife	88	knife	naif	n ai f	487	n ai f	107 1037 452
612	French	knife	88	couteau	kuto	k u t o	486	k u t o	838 868 120 887
613	German	knife	88	Messer	mesər	m e s ə r	485	m e s ə r	241 1089 89 1022 153
614	Hawaiian	knife	88	pahi	pahi	p a h i	491	p a h i	291 997 405 1076
615	Navajo	knife	88	béésh	beːʃ	b eː ʃ	490	b eː ʃ	257 1091 683
616	Turkish	knife	88	bıçak	bɯʧak	b ɯ ʧ a k	488	b ɯ tʃ a k	257 944 651 997 838
617	Albanian	know	89	di	di	d i	1242	d i	145 1076
618	English	know	89	knows	no	n o	1240	n o	107 887
619	French	know	89	sait	sa	s a	1239	s a	89 997
620	German	know	89	weiß	vis	v i s	1238	v i s	451 1076 89
621	Hawaiian	know	89	`ike	ʔike	ʔ i k e	1245	ʔ i k e	409 1076 838 1089
